Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Oct 29 2013,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,18165,2:17,Bankers Life Fieldhouse,
Tue Oct 29 2013,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,18997,2:27,STAPLES Center,
Tue Oct 29 2013,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,19964,2:32,AmericanAirlines Arena,
Wed Oct 30 2013,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,20562,2:23,Quicken Loans Arena,
Wed Oct 30 2013,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,19834,2:14,American Airlines Center,
Wed Oct 30 2013,7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,19258,2:26,The Palace of Auburn Hills,
Wed Oct 30 2013,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,19596,2:10,Oracle Arena,
Wed Oct 30 2013,8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,18083,2:09,Toyota Center,
Wed Oct 30 2013,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,17988,2:36,Target Center,
Wed Oct 30 2013,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,17803,2:27,Smoothie King Center,
Wed Oct 30 2013,7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,19812,2:23,Madison Square Garden (IV),
Wed Oct 30 2013,7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,19523,2:14,Wells Fargo Center,
Wed Oct 30 2013,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,17208,2:07,US Airways Center,
Wed Oct 30 2013,10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,17317,2:26,Sleep Train Arena,
Wed Oct 30 2013,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,18581,2:07,AT&T Center,
Wed Oct 30 2013,7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,20155,2:22,Air Canada Centre,
Wed Oct 30 2013,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,19911,2:25,EnergySolutions Arena,
Thu Oct 31 2013,8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,22022,2:33,United Center,
Thu Oct 31 2013,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,19060,2:48,STAPLES Center,
Fri Nov 1 2013,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,18017,2:23,Time Warner Cable Arena,
Fri Nov 1 2013,7:00p,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,18846,2:13,Amway Center,
Fri Nov 1 2013,7:00p,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,17160,2:06,Verizon Center,
Fri Nov 1 2013,7:30p,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,18118,2:12,Philips Arena,
Fri Nov 1 2013,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,18624,2:23,TD Garden,
Fri Nov 1 2013,8:00p,Miami Heat,100,Brooklyn Nets,101,Box Score,,17732,2:54,Barclays Center,
Fri Nov 1 2013,8:00p,Dallas Mavericks,105,Houston Rockets,113,Box Score,,18142,2:32,Toyota Center,
Fri Nov 1 2013,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,18119,2:48,FedEx Forum,
Fri Nov 1 2013,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,17433,2:14,Target Center,
Fri Nov 1 2013,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,19155,2:09,Pepsi Center,
Fri Nov 1 2013,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,14662,2:20,US Airways Center,
Fri Nov 1 2013,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,17317,2:30,Sleep Train Arena,
Fri Nov 1 2013,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,18997,2:27,STAPLES Center,
Sat Nov 2 2013,7:00p,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,16242,2:10,Bankers Life Fieldhouse,
Sat Nov 2 2013,7:30p,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,15782,2:05,Wells Fargo Center,
Sat Nov 2 2013,8:00p,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,15232,2:11,Smoothie King Center,
Sat Nov 2 2013,8:30p,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,20262,2:23,American Airlines Center,
Sat Nov 2 2013,8:30p,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,16046,2:18,BMO Harris Bradley Center,
Sat Nov 2 2013,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19498,2:20,EnergySolutions Arena,
Sat Nov 2 2013,10:00p,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,20028,2:09,Moda Center,
Sat Nov 2 2013,10:30p,Sacramento Kings,87,Golden State Warriors,98,Box Score,,19596,2:07,Oracle Arena,
Sun Nov 3 2013,6:00p,Boston Celtics,77,Detroit Pistons,87,Box Score,,14978,2:15,The Palace of Auburn Hills,
Sun Nov 3 2013,6:00p,Washington Wizards,93,Miami Heat,103,Box Score,,19600,2:18,AmericanAirlines Arena,
Sun Nov 3 2013,6:00p,Brooklyn Nets,86,Orlando Magic,107,Box Score,,15297,2:05,Amway Center,
Sun Nov 3 2013,7:00p,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,18203,2:22,Chesapeake Energy Arena,
Sun Nov 3 2013,7:30p,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,19812,2:17,Madison Square Garden (IV),
Sun Nov 3 2013,9:30p,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,18997,2:16,STAPLES Center,
Mon Nov 4 2013,7:00p,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,17892,2:03,Quicken Loans Arena,
Mon Nov 4 2013,7:00p,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,,11089,2:09,Wells Fargo Center,
Mon Nov 4 2013,8:00p,Boston Celtics,88,Memphis Grizzlies,95,Box Score,,15872,2:17,FedEx Forum,
Mon Nov 4 2013,10:30p,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,19404,2:23,STAPLES Center,
Tue Nov 5 2013,7:00p,Miami Heat,104,Toronto Raptors,95,Box Score,,18470,2:22,Air Canada Centre,
Tue Nov 5 2013,7:30p,Utah Jazz,88,Brooklyn Nets,104,Box Score,,17732,2:18,Barclays Center,
Tue Nov 5 2013,7:30p,Indiana Pacers,99,Detroit Pistons,91,Box Score,,13401,2:20,The Palace of Auburn Hills,
Tue Nov 5 2013,7:30p,Charlotte Bobcats,102,New York Knicks,97,Box Score,,19812,2:42,Madison Square Garden (IV),
Tue Nov 5 2013,8:00p,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,,13404,2:12,Smoothie King Center,
Tue Nov 5 2013,8:30p,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,,19670,2:05,American Airlines Center,
Tue Nov 5 2013,9:00p,San Antonio Spurs,102,Denver Nuggets,94,Box Score,,15721,2:10,Pepsi Center,
Tue Nov 5 2013,10:00p,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,17491,2:20,Moda Center,
Tue Nov 5 2013,10:00p,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,13506,2:16,Sleep Train Arena,
Wed Nov 6 2013,7:00p,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,11118,2:13,Time Warner Cable Arena,
Wed Nov 6 2013,7:00p,Chicago Bulls,80,Indiana Pacers,97,Box Score,,18165,2:27,Bankers Life Fieldhouse,
Wed Nov 6 2013,7:00p,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,15807,2:16,Amway Center,
Wed Nov 6 2013,7:00p,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,10117,2:04,Wells Fargo Center,
Wed Nov 6 2013,7:30p,Utah Jazz,87,Boston Celtics,97,Box Score,,17130,2:06,TD Garden,
Wed Nov 6 2013,8:00p,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,15209,2:11,FedEx Forum,
Wed Nov 6 2013,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,14340,2:13,BMO Harris Bradley Center,
Wed Nov 6 2013,8:00p,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,15559,2:11,Target Center,
Wed Nov 6 2013,8:30p,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,17870,2:04,AT&T Center,
Wed Nov 6 2013,9:30p,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,18203,2:25,Chesapeake Energy Arena,
Thu Nov 7 2013,7:00p,Los Angeles Clippers,97,Miami Heat,102,Box Score,,19600,2:36,AmericanAirlines Arena,
Thu Nov 7 2013,9:00p,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,15404,2:13,Pepsi Center,
Thu Nov 7 2013,9:30p,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,18133,2:41,Toyota Center,
Fri Nov 8 2013,7:00p,New York Knicks,101,Charlotte Bobcats,91,Box Score,,16465,2:16,Time Warner Cable Arena,
Fri Nov 8 2013,7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,13316,2:08,Bankers Life Fieldhouse,
Fri Nov 8 2013,7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,17555,2:26,Amway Center,
