[0, '1']
[1, '1']
[2, '1']
[3, '2']
[4, '1']
[5, '1']
[6, '1']
[7, '2']
[8, '1']
[9, '1']
[10, '1']
[11, '2']
[12, '1']
[13, '1']
[14, '2']
[15, '1']
[16, '1']
[17, '1']
[18, '1']
[19, '1']
[20, '1']
[21, '2']
[22, '2']
[23, '1']
[24, '1']
[25, '2']
[26, '2']
[27, '2']
[28, '2']
[29, '-1']
[30, '1']
[31, '-1']
[32, '2']
[33, '-1']
[34, '1']
[35, '2']
[36, '1']
[37, '2']
[38, '1']
[39, '1']
[40, '1']
[41, '1']
[42, '1']
[43, '1']
[44, '1']
[45, '2']
[46, '2']
[47, '2']
[48, '1']
[49, '2']
[50, '2']
[51, '-1']
[52, '2']
[53, '2']
[54, '1']
[55, '1']
[56, '1']
[57, '1']
[58, '1']
[59, '2']
[60, '2']
[61, '2']
[62, '2']
[63, '2']
[64, '1']
[65, '1']
[66, '2']
[67, '2']
[68, '2']
[69, '2']
[70, '2']
[71, '2']
[72, '2']
[73, '2']
[74, '1']
[75, '2']
[76, '2']
[77, '2']
[78, '2']
[79, '2']
[80, '1']
[81, '1']
[82, '2']
[83, '2']
[84, '2']
[85, '1']
[86, '2']
[87, '1']
[88, '2']
[89, '2']
[90, '1']
[91, '1']
[92, '2']
[93, '2']
[94, '2']
[95, '2']
[96, '1']
[97, '2']
[98, '2']
[99, '2']
[100, '']
